,Open,High,Low,Close,Volume,Adj. Close,Date Time
2022-04-09 04:31:00,42476.10546875,42476.10546875,42476.10546875,42476.10546875,11321344,42476.10546875,2022-04-09 04:31:00
2022-04-09 04:32:00,42478.33984375,42478.33984375,42478.33984375,42478.33984375,518144,42478.33984375,2022-04-09 04:32:00
2022-04-09 04:33:00,42480.33984375,42480.33984375,42480.33984375,42480.33984375,1171456,42480.33984375,2022-04-09 04:33:00
2022-04-09 04:35:00,42473.88671875,42473.88671875,42473.88671875,42473.88671875,30353408,42473.88671875,2022-04-09 04:35:00
2022-04-09 04:37:00,42468.8125,42468.8125,42468.8125,42468.8125,10027008,42468.8125,2022-04-09 04:37:00
2022-04-09 04:38:00,42468.41796875,42468.41796875,42468.41796875,42468.41796875,0,42468.41796875,2022-04-09 04:38:00
2022-04-09 04:39:00,42468.54296875,42468.54296875,42468.54296875,42468.54296875,0,42468.54296875,2022-04-09 04:39:00
2022-04-09 04:41:00,42462.94140625,42462.94140625,42462.94140625,42462.94140625,0,42462.94140625,2022-04-09 04:41:00
2022-04-09 04:43:00,42482.33984375,42482.33984375,42482.33984375,42482.33984375,15147008,42482.33984375,2022-04-09 04:43:00
2022-04-09 04:44:00,42492.61328125,42492.61328125,42492.61328125,42492.61328125,6283264,42492.61328125,2022-04-09 04:44:00
2022-04-09 04:45:00,42496.35546875,42496.35546875,42496.35546875,42496.35546875,2404352,42496.35546875,2022-04-09 04:45:00
2022-04-09 04:46:00,42532.078125,42532.078125,42532.078125,42532.078125,16445440,42532.078125,2022-04-09 04:46:00
2022-04-09 04:47:00,42526.66015625,42526.66015625,42526.66015625,42526.66015625,0,42526.66015625,2022-04-09 04:47:00
2022-04-09 04:49:00,42496.390625,42496.390625,42496.390625,42496.390625,2308096,42496.390625,2022-04-09 04:49:00
2022-04-09 04:50:00,42483.97265625,42483.97265625,42483.97265625,42483.97265625,0,42483.97265625,2022-04-09 04:50:00
2022-04-09 04:51:00,42473.6640625,42473.6640625,42473.6640625,42473.6640625,0,42473.6640625,2022-04-09 04:51:00
2022-04-09 04:52:00,42462.6171875,42462.6171875,42462.6171875,42462.6171875,0,42462.6171875,2022-04-09 04:52:00
2022-04-09 04:54:00,42463.49609375,42463.49609375,42463.49609375,42463.49609375,0,42463.49609375,2022-04-09 04:54:00
2022-04-09 04:55:00,42461.4609375,42461.4609375,42461.4609375,42461.4609375,5875712,42461.4609375,2022-04-09 04:55:00
2022-04-09 04:56:00,42459.93359375,42459.93359375,42459.93359375,42459.93359375,0,42459.93359375,2022-04-09 04:56:00
2022-04-09 04:57:00,42464.6015625,42464.6015625,42464.6015625,42464.6015625,2252800,42464.6015625,2022-04-09 04:57:00
2022-04-09 04:58:00,42457.01171875,42457.01171875,42457.01171875,42457.01171875,9539584,42457.01171875,2022-04-09 04:58:00
2022-04-09 04:59:00,42456.734375,42456.734375,42456.734375,42456.734375,0,42456.734375,2022-04-09 04:59:00
2022-04-09 05:01:00,42439.25,42439.25,42439.25,42439.25,0,42439.25,2022-04-09 05:01:00
2022-04-09 05:02:00,42434.5859375,42434.5859375,42434.5859375,42434.5859375,0,42434.5859375,2022-04-09 05:02:00
2022-04-09 05:04:00,42448.8203125,42448.8203125,42448.8203125,42448.8203125,813056,42448.8203125,2022-04-09 05:04:00
2022-04-09 05:05:00,42452.15234375,42452.15234375,42452.15234375,42452.15234375,0,42452.15234375,2022-04-09 05:05:00
2022-04-09 05:07:00,42451.78515625,42451.78515625,42451.78515625,42451.78515625,0,42451.78515625,2022-04-09 05:07:00
2022-04-09 05:08:00,42456.65234375,42456.65234375,42456.65234375,42456.65234375,4458496,42456.65234375,2022-04-09 05:08:00
2022-04-09 05:09:00,42455.65625,42455.65625,42455.65625,42455.65625,610304,42455.65625,2022-04-09 05:09:00
2022-04-09 05:10:00,42487.703125,42487.703125,42487.703125,42487.703125,32522240,42487.703125,2022-04-09 05:10:00
2022-04-09 05:11:00,42490.8984375,42490.8984375,42490.8984375,42490.8984375,3366912,42490.8984375,2022-04-09 05:11:00
2022-04-09 05:13:00,42486.36328125,42486.36328125,42486.36328125,42486.36328125,0,42486.36328125,2022-04-09 05:13:00
2022-04-09 05:14:00,42491.94140625,42491.94140625,42491.94140625,42491.94140625,2398208,42491.94140625,2022-04-09 05:14:00
2022-04-09 05:15:00,42497.203125,42497.203125,42497.203125,42497.203125,6141952,42497.203125,2022-04-09 05:15:00
2022-04-09 05:16:00,42511.89453125,42511.89453125,42511.89453125,42511.89453125,8382464,42511.89453125,2022-04-09 05:16:00
2022-04-09 05:17:00,42521.26171875,42521.26171875,42521.26171875,42521.26171875,8425472,42521.26171875,2022-04-09 05:17:00
2022-04-09 05:19:00,42536.4921875,42536.4921875,42536.4921875,42536.4921875,34473984,42536.4921875,2022-04-09 05:19:00
2022-04-09 05:20:00,42533.3125,42533.3125,42533.3125,42533.3125,0,42533.3125,2022-04-09 05:20:00
2022-04-09 05:21:00,42519.58984375,42519.58984375,42519.58984375,42519.58984375,0,42519.58984375,2022-04-09 05:21:00
2022-04-09 05:22:00,42508.01171875,42508.01171875,42508.01171875,42508.01171875,12447744,42508.01171875,2022-04-09 05:22:00
2022-04-09 05:23:00,42503.13671875,42503.13671875,42503.13671875,42503.13671875,0,42503.13671875,2022-04-09 05:23:00
2022-04-09 05:26:00,42492.875,42492.875,42492.875,42492.875,0,42492.875,2022-04-09 05:26:00
2022-04-09 05:27:00,42493.38671875,42493.38671875,42493.38671875,42493.38671875,0,42493.38671875,2022-04-09 05:27:00
2022-04-09 05:29:00,42505.0703125,42505.0703125,42505.0703125,42505.0703125,12963840,42505.0703125,2022-04-09 05:29:00
2022-04-09 05:31:00,42498.6796875,42498.6796875,42498.6796875,42498.6796875,9019392,42498.6796875,2022-04-09 05:31:00
2022-04-09 05:34:00,42502.921875,42502.921875,42502.921875,42502.921875,17631232,42502.921875,2022-04-09 05:34:00
2022-04-09 05:35:00,42503.1015625,42503.1015625,42503.1015625,42503.1015625,0,42503.1015625,2022-04-09 05:35:00
2022-04-09 05:38:00,42502.21875,42502.21875,42502.21875,42502.21875,0,42502.21875,2022-04-09 05:38:00
2022-04-09 05:39:00,42511.29296875,42511.29296875,42511.29296875,42511.29296875,4804608,42511.29296875,2022-04-09 05:39:00
2022-04-09 05:40:00,42525.9921875,42525.9921875,42525.9921875,42525.9921875,19226624,42525.9921875,2022-04-09 05:40:00
2022-04-09 05:41:00,42527.9375,42527.9375,42527.9375,42527.9375,0,42527.9375,2022-04-09 05:41:00
2022-04-09 05:43:00,42518.55078125,42518.55078125,42518.55078125,42518.55078125,0,42518.55078125,2022-04-09 05:43:00
2022-04-09 05:44:00,42503.0078125,42503.0078125,42503.0078125,42503.0078125,0,42503.0078125,2022-04-09 05:44:00
2022-04-09 05:45:00,42515.41015625,42515.41015625,42515.41015625,42515.41015625,7174144,42515.41015625,2022-04-09 05:45:00
2022-04-09 05:46:00,42517.1953125,42517.1953125,42517.1953125,42517.1953125,15466496,42517.1953125,2022-04-09 05:46:00
2022-04-09 05:47:00,42522.171875,42522.171875,42522.171875,42522.171875,1810432,42522.171875,2022-04-09 05:47:00
2022-04-09 05:49:00,42541.0390625,42541.0390625,42541.0390625,42541.0390625,37300224,42541.0390625,2022-04-09 05:49:00
2022-04-09 05:50:00,42541.24609375,42541.24609375,42541.24609375,42541.24609375,2015232,42541.24609375,2022-04-09 05:50:00
2022-04-09 05:51:00,42538.30859375,42538.30859375,42538.30859375,42538.30859375,0,42538.30859375,2022-04-09 05:51:00
2022-04-09 05:52:00,42539.52734375,42539.52734375,42539.52734375,42539.52734375,4003840,42539.52734375,2022-04-09 05:52:00
2022-04-09 05:56:00,42558.41015625,42558.41015625,42558.41015625,42558.41015625,0,42558.41015625,2022-04-09 05:56:00
2022-04-09 05:58:00,42595.7421875,42595.7421875,42595.7421875,42595.7421875,26032128,42595.7421875,2022-04-09 05:58:00
2022-04-09 05:59:00,42602.46875,42602.46875,42602.46875,42602.46875,3231744,42602.46875,2022-04-09 05:59:00
2022-04-09 06:04:00,42588.80078125,42588.80078125,42588.80078125,42588.80078125,0,42588.80078125,2022-04-09 06:04:00
2022-04-09 06:05:00,42584.85546875,42584.85546875,42584.85546875,42584.85546875,0,42584.85546875,2022-04-09 06:05:00
2022-04-09 06:08:00,42563.046875,42563.046875,42563.046875,42563.046875,0,42563.046875,2022-04-09 06:08:00
2022-04-09 06:10:00,42565.96875,42565.96875,42565.96875,42565.96875,2435072,42565.96875,2022-04-09 06:10:00
2022-04-09 06:11:00,42565.28125,42565.28125,42565.28125,42565.28125,0,42565.28125,2022-04-09 06:11:00
2022-04-09 06:12:00,42566.93359375,42566.93359375,42566.93359375,42566.93359375,0,42566.93359375,2022-04-09 06:12:00
2022-04-09 06:14:00,42578.265625,42578.265625,42578.265625,42578.265625,0,42578.265625,2022-04-09 06:14:00
2022-04-09 06:15:00,42559.33203125,42559.33203125,42559.33203125,42559.33203125,0,42559.33203125,2022-04-09 06:15:00
2022-04-09 06:17:00,42524.44921875,42524.44921875,42524.44921875,42524.44921875,0,42524.44921875,2022-04-09 06:17:00
2022-04-09 06:18:00,42521.80078125,42521.80078125,42521.80078125,42521.80078125,0,42521.80078125,2022-04-09 06:18:00
2022-04-09 06:20:00,42508.296875,42508.296875,42508.296875,42508.296875,512000,42508.296875,2022-04-09 06:20:00
2022-04-09 06:22:00,42502.78515625,42502.78515625,42502.78515625,42502.78515625,0,42502.78515625,2022-04-09 06:22:00
2022-04-09 06:23:00,42504.40234375,42504.40234375,42504.40234375,42504.40234375,0,42504.40234375,2022-04-09 06:23:00
2022-04-09 06:24:00,42502.3828125,42502.3828125,42502.3828125,42502.3828125,0,42502.3828125,2022-04-09 06:24:00
2022-04-09 06:27:00,42511.23046875,42511.23046875,42511.23046875,42511.23046875,0,42511.23046875,2022-04-09 06:27:00
2022-04-09 06:28:00,42510.06640625,42510.06640625,42510.06640625,42510.06640625,0,42510.06640625,2022-04-09 06:28:00
2022-04-09 06:29:00,42509.19921875,42509.19921875,42509.19921875,42509.19921875,0,42509.19921875,2022-04-09 06:29:00
2022-04-09 06:31:00,42510.921875,42510.921875,42510.921875,42510.921875,0,42510.921875,2022-04-09 06:31:00
2022-04-09 06:32:00,42507.1953125,42507.1953125,42507.1953125,42507.1953125,0,42507.1953125,2022-04-09 06:32:00
2022-04-09 06:34:00,42501.6796875,42501.6796875,42501.6796875,42501.6796875,0,42501.6796875,2022-04-09 06:34:00
2022-04-09 06:35:00,42498.23828125,42498.23828125,42498.23828125,42498.23828125,16504832,42498.23828125,2022-04-09 06:35:00
2022-04-09 06:37:00,42514.0,42514.0,42514.0,42514.0,0,42514.0,2022-04-09 06:37:00
2022-04-09 06:38:00,42498.81640625,42498.81640625,42498.81640625,42498.81640625,0,42498.81640625,2022-04-09 06:38:00
2022-04-09 06:41:00,42457.85546875,42457.85546875,42457.85546875,42457.85546875,0,42457.85546875,2022-04-09 06:41:00
2022-04-09 06:42:00,42457.84765625,42457.84765625,42457.84765625,42457.84765625,0,42457.84765625,2022-04-09 06:42:00
2022-04-09 06:43:00,42445.83203125,42445.83203125,42445.83203125,42445.83203125,0,42445.83203125,2022-04-09 06:43:00
2022-04-09 06:44:00,42448.2109375,42448.2109375,42448.2109375,42448.2109375,741376,42448.2109375,2022-04-09 06:44:00
2022-04-09 06:46:00,42468.8515625,42468.8515625,42468.8515625,42468.8515625,17350656,42468.8515625,2022-04-09 06:46:00
2022-04-09 06:48:00,42485.92578125,42485.92578125,42485.92578125,42485.92578125,4128768,42485.92578125,2022-04-09 06:48:00
2022-04-09 06:49:00,42498.80078125,42498.80078125,42498.80078125,42498.80078125,8302592,42498.80078125,2022-04-09 06:49:00
2022-04-09 06:50:00,42497.2578125,42497.2578125,42497.2578125,42497.2578125,0,42497.2578125,2022-04-09 06:50:00
2022-04-09 06:52:00,42499.0,42499.0,42499.0,42499.0,0,42499.0,2022-04-09 06:52:00
2022-04-09 06:53:00,42499.48828125,42499.48828125,42499.48828125,42499.48828125,0,42499.48828125,2022-04-09 06:53:00
2022-04-09 06:55:00,42504.87109375,42504.87109375,42504.87109375,42504.87109375,5691392,42504.87109375,2022-04-09 06:55:00
2022-04-09 06:56:00,42497.44140625,42497.44140625,42497.44140625,42497.44140625,0,42497.44140625,2022-04-09 06:56:00
2022-04-09 06:58:00,42486.9375,42486.9375,42486.9375,42486.9375,0,42486.9375,2022-04-09 06:58:00
2022-04-09 06:59:00,42486.16015625,42486.16015625,42486.16015625,42486.16015625,0,42486.16015625,2022-04-09 06:59:00
2022-04-09 07:00:00,42487.70703125,42487.70703125,42487.70703125,42487.70703125,2121728,42487.70703125,2022-04-09 07:00:00
2022-04-09 07:02:00,42477.89453125,42477.89453125,42477.89453125,42477.89453125,0,42477.89453125,2022-04-09 07:02:00
2022-04-09 07:04:00,42491.78125,42491.78125,42491.78125,42491.78125,0,42491.78125,2022-04-09 07:04:00
2022-04-09 07:05:00,42490.65234375,42490.65234375,42490.65234375,42490.65234375,0,42490.65234375,2022-04-09 07:05:00
2022-04-09 07:06:00,42492.60546875,42492.60546875,42492.60546875,42492.60546875,940032,42492.60546875,2022-04-09 07:06:00
2022-04-09 07:08:00,42501.4140625,42501.4140625,42501.4140625,42501.4140625,1099776,42501.4140625,2022-04-09 07:08:00
2022-04-09 07:11:00,42498.546875,42498.546875,42498.546875,42498.546875,25937920,42498.546875,2022-04-09 07:11:00
2022-04-09 07:16:00,42449.91015625,42449.91015625,42449.91015625,42449.91015625,0,42449.91015625,2022-04-09 07:16:00
2022-04-09 07:17:00,42451.609375,42451.609375,42451.609375,42451.609375,0,42451.609375,2022-04-09 07:17:00
2022-04-09 07:19:00,42482.515625,42482.515625,42482.515625,42482.515625,0,42482.515625,2022-04-09 07:19:00
2022-04-09 07:20:00,42485.08984375,42485.08984375,42485.08984375,42485.08984375,4315136,42485.08984375,2022-04-09 07:20:00
2022-04-09 07:22:00,42490.06640625,42490.06640625,42490.06640625,42490.06640625,19855360,42490.06640625,2022-04-09 07:22:00
